"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm","Total-Throughput"
0,0,0,0,2,0,0,1,0,3.0094
0,0,0,0,3,0,0,1,0,4.3111
0,0,0,0,4,0,0,1,0,4.9824
0,0,0,0,5,0,0,1,0,6.4008
0,0,0,0,6,0,0,1,0,7.5491
0,0,0,0,7,0,0,1,0,7.7413
0,0,0,0,0,1,0,1,0,1.9521
0,0,0,0,0,2,0,1,0,2.7773
0,0,0,0,0,3,0,1,0,3.3645
0,0,0,0,0,4,0,1,0,3.9085
0,0,0,0,0,5,0,1,0,4.2218
0,0,0,0,0,6,0,1,0,4.8577
0,0,0,0,0,7,0,1,0,5.1015
0,0,0,0,0,0,1,1,0,1.8710
0,0,0,0,0,0,2,1,0,2.7803
0,0,0,0,0,0,3,1,0,3.1184
0,0,0,0,0,0,4,1,0,4.4561
0,0,0,0,0,0,5,1,0,4.5330
0,0,0,0,0,0,6,1,0,2.5575
0,0,0,0,0,0,7,1,0,2.5324
0,0,0,0,0,0,0,1,0,1.0000
0,0,0,0,0,0,0,2,0,1.9770
0,0,0,0,0,0,0,3,0,2.9688
0,0,0,0,0,0,0,4,0,3.9298
0,0,0,0,0,0,0,5,0,4.9098
0,0,0,0,0,0,0,6,0,5.8284
0,0,0,0,0,0,0,7,0,6.8256
0,0,0,0,0,0,0,8,0,7.7690
0,0,0,0,0,0,0,1,1,1.8311
0,0,0,0,0,0,0,1,2,2.6918
0,0,0,0,0,0,0,1,3,4.0373
0,0,0,0,0,0,0,1,4,4.9834
0,0,0,0,0,0,0,1,5,5.8202
0,0,0,0,0,0,0,1,6,6.9329
0,0,0,0,0,0,0,1,7,7.5972
1,0,0,0,0,0,0,0,1,1.8264
2,0,0,0,0,0,0,0,1,2.6338
3,0,0,0,0,0,0,0,1,3.7957
4,0,0,0,0,0,0,0,1,4.0692
5,0,0,0,0,0,0,0,1,4.8892
6,0,0,0,0,0,0,0,1,5.2934
7,0,0,0,0,0,0,0,1,5.9914
0,1,0,0,0,0,0,0,1,1.9160
0,2,0,0,0,0,0,0,1,2.7940
0,3,0,0,0,0,0,0,1,3.8249
0,4,0,0,0,0,0,0,1,4.4685
0,5,0,0,0,0,0,0,1,5.0335
0,6,0,0,0,0,0,0,1,5.3631
0,7,0,0,0,0,0,0,1,6.3346
0,0,1,0,0,0,0,0,1,2.0577
0,0,2,0,0,0,0,0,1,3.1157
0,0,3,0,0,0,0,0,1,4.0282
0,0,4,0,0,0,0,0,1,4.7361
0,0,5,0,0,0,0,0,1,5.7119
0,0,6,0,0,0,0,0,1,6.7148
0,0,7,0,0,0,0,0,1,7.6897
0,0,0,1,0,0,0,0,1,1.9985
0,0,0,2,0,0,0,0,1,2.8368
0,0,0,3,0,0,0,0,1,2.2371
0,0,0,4,0,0,0,0,1,2.3689
0,0,0,5,0,0,0,0,1,5.6107
0,0,0,6,0,0,0,0,1,6.4589
0,0,0,7,0,0,0,0,1,3.2603
0,0,0,0,1,0,0,0,1,2.0319
0,0,0,0,2,0,0,0,1,3.2184
0,0,0,0,3,0,0,0,1,4.4189
0,0,0,0,4,0,0,0,1,5.0336
0,0,0,0,5,0,0,0,1,6.3280
0,0,0,0,6,0,0,0,1,6.8855
0,0,0,0,7,0,0,0,1,7.5351
0,0,0,0,0,1,0,0,1,1.9023
0,0,0,0,0,2,0,0,1,2.6236
0,0,0,0,0,3,0,0,1,3.3510
0,0,0,0,0,4,0,0,1,3.7025
0,0,0,0,0,5,0,0,1,4.5337
0,0,0,0,0,6,0,0,1,4.9182
0,0,0,0,0,7,0,0,1,4.8797
0,0,0,0,0,0,1,0,1,1.8572
0,0,0,0,0,0,2,0,1,2.8461
0,0,0,0,0,0,3,0,1,2.9268
0,0,0,0,0,0,4,0,1,4.6557
0,0,0,0,0,0,5,0,1,3.3883
0,0,0,0,0,0,6,0,1,4.6676
0,0,0,0,0,0,7,0,1,3.2379
0,0,0,0,0,0,0,1,1,1.8311
0,0,0,0,0,0,0,2,1,3.3191
0,0,0,0,0,0,0,3,1,3.9996
0,0,0,0,0,0,0,4,1,5.0575
0,0,0,0,0,0,0,5,1,6.0073
0,0,0,0,0,0,0,6,1,6.6845
0,0,0,0,0,0,0,7,1,7.8617
0,0,0,0,0,0,0,0,1,1.0000
0,0,0,0,0,0,0,0,2,2.0741
0,0,0,0,0,0,0,0,3,2.9254
0,0,0,0,0,0,0,0,4,3.5452
0,0,0,0,0,0,0,0,5,4.9681
0,0,0,0,0,0,0,0,6,5.6904
0,0,0,0,0,0,0,0,7,6.8615
0,0,0,0,0,0,0,0,8,7.8343
